barcode,product_name,brands,category,latest_price,price_per_100g,energy_kcal_100g,sugars_100g,fat_100g,salt_100g,nutriscore_numeric,nutriscore_grade
3228857002351,Pain de mie american sandwich complet sans sucres ajoutés maxi 900g,Harrys,bread,2.4,0.26666666666666666,280.0,3.6,6.8,1.1,,b
3177500000742,Unleavened Breads,Biscuiterie d'Agen,bread,3.39,0.5650000000000001,364.0,1.1,0.8,0.01,,a
3228857000180,Pain AMS complet,Harrys,bread,1.9,0.2111111111111111,253.0,4.9,4.5,1.2,,b
5010044000275,Toastie White Bread,Warburtons,bread,1.2,0.3,243.0,2.78,2.08,0.938,,c
8710637105352,Wraps au blé nature,Mission,bread,3.83,1.035135135135135,314.0,1.1,7.0,0.98,,b
3228857002184,Pain de mie american sandwich nature sans sucres ajoutés 550g,"Harrys, Harrys Né à Châteauroux",bread,1.95,0.35454545454545455,283.0,5.2,6.0,1.1,,c
3392460488809,Toast brioché,"LU, Pelletier",bread,1.65,1.0999999999999999,438.0,10.0,8.7,1.1,,d
8727200195221,Tortilla de mais et blé,old El paso,bread,2.99,0.8925373134328358,289.0,4.4,4.8,0.95,,c
3228857001507,Harrys pain de mie extra moelleux complet sans sucres ajoutés 280g,Harrys,bread,2.15,0.7678571428571429,273.0,5.1,4.6,1.1,,c
3029330072690,4 Pains burger géant à la farine  complète,Jacquet,bread,1.99,0.5685714285714286,270.0,4.8,5.0,1.1,,c
3392460482012,Biscottes Forme+,"Heudebert, Lu, Mondelèz International",bread,2.09,0.7464285714285714,390.0,6.9,6.5,1.41,,c
3256222646985,Pain de mie sandwich complet 550g,U,bread,1.3,0.23636363636363636,261.0,5.9,4.9,1.1,,c
5010029000016,Weetabix,Weetabix,breakfast-cereals,3.62,0.8418604651162791,358.0,4.21,2.11,0.257,,a
3168930010265,cruesly mélange de noix,Quaker,breakfast-cereals,4.12,0.9155555555555556,462.0,12.0,19.0,0.0,,b
20003166,Haferflocken,"Brownfield, CROWNFIELD",breakfast-cereals,0.69,0.13799999999999998,372.0,0.7,7.0,0.03,,a
3229820019307,Flocons d'avoine,Bjorg,breakfast-cereals,1.84,0.368,362.0,1.7,7.1,0.02,,a
3229820160672,Croustillant Chocolat,Bjorg,breakfast-cereals,3.59,0.718,433.0,14.0,14.0,0.28,,c
5010029000023,Weetabix produit à base de blé complet 100%,Weetabix,breakfast-cereals,3.91,0.9093023255813955,363.0,4.27,2.13,0.26,,a
3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,breakfast-cereals,2.17,0.5786666666666667,352.0,14.0,5.8,0.03,,a
5010477348678,Special Muesli 30% fruits & noix,Jordans,breakfast-cereals,4.19,0.5586666666666668,362.0,17.0,7.2,0.03,,a
5000108022152,Quaker Rolled Oats,Quaker,breakfast-cereals,2.5,0.25,368.0,1.0,8.5,0.00625,,a
3229820782560,"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg,breakfast-cereals,3.45,0.92,358.0,13.0,6.0,0.04,,a
3159470000120,Corn Flakes,Kellogg's,breakfast-cereals,3.39,0.678,378.0,8.0,0.9,1.1,,d
3168930009078,Flocons d'avoine complète,Quaker,breakfast-cereals,1.75,0.3181818181818182,375.0,1.1,8.0,0.01,,a
5010477348357,Country Crisp 4 noix,Jordans,breakfast-cereals,2.98,0.5418181818181819,465.0,18.0,20.0,0.03,,c
3229820769165,Muesli avoine chocolat bio,Bjorg,breakfast-cereals,4.55,1.2133333333333334,390.0,8.7,9.6,0.1,,a
5010029229035,Crispy minis imp,Weetabix,breakfast-cereals,4.3,0.86,385.0,17.0,5.0,0.2,,b
7613036669146,NESTLE CHOCAPIC BIO Céréales 375g,"Nestlé,Chocapic",breakfast-cereals,4.21,1.1226666666666667,390.0,19.9,5.6,0.2,,b
7613034626844,Céréales Chocapic,"Nestlé,Chocapic",breakfast-cereals,2.67,0.6209302325581395,388.0,22.4,4.8,0.22,,c
5010477348395,Country Crisp - Chocolat noir 70% cacao,Jordans,breakfast-cereals,4.69,0.8527272727272728,453.0,20.8,16.7,0.03,,d
3168930010906,Cruesli Chocolat noir,Quaker,breakfast-cereals,2.78,0.6177777777777778,455.0,16.0,19.0,0.48,,c
5010477348517,Country Crisp 4 Baies,Jordans,breakfast-cereals,4.18,0.7599999999999999,432.0,20.0,13.0,0.03,,c
3387390123210,NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic",breakfast-cereals,2.99,0.7973333333333333,384.0,19.9,4.4,0.2,,b
40897677,Hafer Flocken Zart,"Crownfield,Bio Organic,Lidl",breakfast-cereals,1.69,0.33799999999999997,371.0,0.8,6.7,0.0,,a
20159917,Corn Flakes,"Crownfield, Lidl",breakfast-cereals,1.39,0.27799999999999997,386.0,3.0,1.2,1.95,,d
7613287514325,Fitness Nature Céréales complètes,Nestle,breakfast-cereals,3.45,0.7263157894736842,368.0,8.3,1.5,0.56,,a
3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,breakfast-cereals,4.57,0.914,420.0,13.0,11.0,0.24,,b
20621469,Special Flakes Classic,Crownfield,breakfast-cereals,1.95,0.39,388.0,8.8,1.8,0.51,,a
5059319029702,Rice Krispies,Kellogg’s,breakfast-cereals,3.8,0.8837209302325582,389.0,7.9,1.2,0.9825,,c
